value,general_class,class,sub_class,color_hint
104,Wetland,Sparse vegetation,19% short vegetation cover,A0B6C9
105,Wetland,Sparse vegetation,23% short vegetation cover,99B3CB
106,Wetland,Sparse vegetation,27% short vegetation cover,91B1CD
107,Wetland,Sparse vegetation,31% short vegetation cover,89AFD0
108,Wetland,Sparse vegetation,35% short vegetation cover,82ACD2
109,Wetland,Sparse vegetation,39% short vegetation cover,7AAAD4
110,Wetland,Sparse vegetation,43% short vegetation cover,73A7D6
111,Wetland,Sparse vegetation,47% short vegetation cover,6BA5D9
112,Wetland,Sparse vegetation,51% short vegetation cover,64A3DB
113,Wetland,Sparse vegetation,55% short vegetation cover,5CA0DD
114,Wetland,Sparse vegetation,59% short vegetation cover,549EE0
115,Wetland,Sparse vegetation,63% short vegetation cover,4D9BE2
116,Wetland,Sparse vegetation,67% short vegetation cover,4599E4
117,Wetland,Sparse vegetation,71% short vegetation cover,3E96E6
118,Wetland,Sparse vegetation,75% short vegetation cover,3694E9
119,Wetland,Dense short vegetation,79% short vegetation cover,2E92EB
120,Wetland,Dense short vegetation,83% short vegetation cover,278FED
121,Wetland,Dense short vegetation,87% short vegetation cover,1F8DF0
122,Wetland,Dense short vegetation,91% short vegetation cover,188AF2
123,Wetland,Dense short vegetation,95% short vegetation cover,1088F4
124,Wetland,Dense short vegetation,100% short vegetation cover,0986F7
125,Wetland,Stable tree cover,3m trees,55A5A5
126,Wetland,Stable tree cover,4m trees,53A1A2
127,Wetland,Stable tree cover,5m trees,519E9F
128,Wetland,Stable tree cover,6m trees,4F9B9C
129,Wetland,Stable tree cover,7m trees,4D989A
130,Wetland,Stable tree cover,8m trees,4B9597
131,Wetland,Stable tree cover,9m trees,499294
132,Wetland,Stable tree cover,10m trees,478F91
133,Wetland,Stable tree cover,11m trees,458B8F
134,Wetland,Stable tree cover,12m trees,43888C
135,Wetland,Stable tree cover,13m trees,418589
136,Wetland,Stable tree cover,14m trees,3F8286
137,Wetland,Stable tree cover,15m trees,3D7F84
138,Wetland,Stable tree cover,16m trees,3B7C81
139,Wetland,Stable tree cover,17m trees,39797E
140,Wetland,Stable tree cover,18m trees,37767B
141,Wetland,Stable tree cover,19m trees,357279
142,Wetland,Stable tree cover,20m trees,336F76
143,Wetland,Stable tree cover,21m trees,316C73
144,Wetland,Stable tree cover,22m trees,2F6970
145,Wetland,Stable tree cover,23m trees,2D666E
146,Wetland,Stable tree cover,24m trees,2B636B
147,Wetland,Stable tree cover,25m trees,296068
148,Wetland,Stable tree cover,>25m trees,285D66
149,Wetland,Tree cover with previous disturbance (2020 height),3m trees,bb93b0
150,Wetland,Tree cover with previous disturbance (2020 height),4m trees,B78FAC
151,Wetland,Tree cover with previous disturbance (2020 height),5m trees,B48CA9
152,Wetland,Tree cover with previous disturbance (2020 height),6m trees,B189A6
153,Wetland,Tree cover with previous disturbance (2020 height),7m trees,AE85A2
154,Wetland,Tree cover with previous disturbance (2020 height),8m trees,AA829F
155,Wetland,Tree cover with previous disturbance (2020 height),9m trees,A77F9C
156,Wetland,Tree cover with previous disturbance (2020 height),10m trees,A47B99
157,Wetland,Tree cover with previous disturbance (2020 height),11m trees,A17895
158,Wetland,Tree cover with previous disturbance (2020 height),12m trees,9E7592
159,Wetland,Tree cover with previous disturbance (2020 height),13m trees,9A718F
160,Wetland,Tree cover with previous disturbance (2020 height),14m trees,976E8C
161,Wetland,Tree cover with previous disturbance (2020 height),15m trees,946B88
162,Wetland,Tree cover with previous disturbance (2020 height),16m trees,916885
163,Wetland,Tree cover with previous disturbance (2020 height),17m trees,8D6482
164,Wetland,Tree cover with previous disturbance (2020 height),18m trees,8A617F
165,Wetland,Tree cover with previous disturbance (2020 height),19m trees,875E7B
166,Wetland,Tree cover with previous disturbance (2020 height),20m trees,845A78
167,Wetland,Tree cover with previous disturbance (2020 height),21m trees,815775
168,Wetland,Tree cover with previous disturbance (2020 height),22m trees,7D5472
169,Wetland,Tree cover with previous disturbance (2020 height),23m trees,7A506E
170,Wetland,Tree cover with previous disturbance (2020 height),24m trees,774D6B
171,Wetland,Tree cover with previous disturbance (2020 height),25m trees,744A68
172,Wetland,Tree cover with previous disturbance (2020 height),>25m trees,714765
173,Wetland,Tree height gain (2020 height),3m trees,de7cbb
174,Wetland,Tree height gain (2020 height),4m trees,DA77B7
175,Wetland,Tree height gain (2020 height),5m trees,D772B3
176,Wetland,Tree height gain (2020 height),6m trees,D46EAF
177,Wetland,Tree height gain (2020 height),7m trees,D169AB
178,Wetland,Tree height gain (2020 height),8m trees,CE64A8
179,Wetland,Tree height gain (2020 height),9m trees,CB60A4
180,Wetland,Tree height gain (2020 height),10m trees,C85BA0
181,Wetland,Tree height gain (2020 height),11m trees,C4579C
182,Wetland,Tree height gain (2020 height),12m trees,C15298
183,Wetland,Tree height gain (2020 height),13m trees,BE4D95
184,Wetland,Tree height gain (2020 height),14m trees,BB4991
185,Wetland,Tree height gain (2020 height),15m trees,B8448D
186,Wetland,Tree height gain (2020 height),16m trees,B54089
187,Wetland,Tree height gain (2020 height),17m trees,B23B86
188,Wetland,Tree height gain (2020 height),18m trees,AF3682
189,Wetland,Tree height gain (2020 height),19m trees,AB327E
190,Wetland,Tree height gain (2020 height),20m trees,A82D7A
191,Wetland,Tree height gain (2020 height),21m trees,A52976
192,Wetland,Tree height gain (2020 height),22m trees,A22473
193,Wetland,Tree height gain (2020 height),23m trees,9F1F6F
194,Wetland,Tree height gain (2020 height),24m trees,9C1B6B
195,Wetland,Tree height gain (2020 height),25m trees,991667
196,Wetland,Tree height gain (2020 height),>25m trees,961264
208,Open surface water,Open surface water,permanent water,0000BA
209,Open surface water,Open surface water,persistent water loss,040464
210,Open surface water,Open surface water,persistent water gain,0000FF
211,Open surface water,Open surface water,variable water,3051cf
240,Short vegetation,Short vegetation,short vegetation after tree loss,ff2828
241,Snow/ice,Snow/ice,stable,ffffff
242,Snow/ice,Snow/ice,snow/ice gain,d0ffff
243,Snow/ice,Snow/ice,snow/ice loss,ffe0d0
244,Cropland,Cropland,stable cropland,ff7d00
245,Cropland,Cropland,cropland gain from trees,fac800
246,Cropland,Cropland,cropland gain from wetland veg,c86400
247,Cropland,Cropland,cropland gain from other,fff000
248,Cropland loss,Cropland loss,cropland loss to tree,afcd96
249,Cropland loss,Cropland loss,cropland loss to short veg/other,afcd96
250,Built-up,Built-up,stable built-up,64dcdc
251,Built-up,Built-up,built-up gain from trees,00ffff
252,Built-up,Built-up,built-up gain from crop,00ffff
253,Built-up,Built-up,built-up from other,00ffff
254,Ocean,Ocean,,111133
255,No data,,,
